 ,Full Name,Gender,Date of Birth,RPP,ERPP,Parliament Name,D I P S,E O P T,Political Party Name
46,Davies Paulos Ng�mbi,M,16.12.69 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
47,Dennis Biscuit Namachekecha-Phiri,M,04.07.61 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
48,Deus Texas N Gumba Banda,M,27.01.71 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
49,Dr. Ephraim Abelle Kayembe,M,16.09.73 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
50,Dr. Esther Mcheka Chilenje,F,11.06.65 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
51,Dr. George Thapatula Chaponda,M,01.11.42 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
52,Dr. Lazarous McCarthy Chakwera,M,04.05.55 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
53,Ebbie Mathanda,F,17.10.55 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
54,Edrissa Pongolani Kazembe,M,20.03.79 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,PP
55,Eisenhower Nduwa Mkaka,M,12.09.73 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
56,Emmanuel Chambulanyina Jere,M,16.05.83 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
57,Enock Genasi Phale,M,19.11.70 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
58,Enos Kanyerere Chitatanga,M,09.08.68 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
59,Ephraim Billie Nayeja,M,30.10.57 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
60,Esther Asumani Majaza,F,17.10.78 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
61,Esther Cecilia Kathumba,M,25.09.63 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
62,Esther Jolobala,F,08.06.81 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,UDF
63,Eurita Ntiza Valeta,F,08.03.73 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
64,Ezekiel Peter Ching'oma,M,20.01.81 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
65,Fidson Saimon Chisesele,M,03.01.61 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
66,Francesca Theula Masamba,F,14.12.82 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
67,Francis Lucky Phiso,M,08.03.68 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
68,Francis Lazaro Kasaila,M,27.10.68 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
69,Fyness Magonjwa,F,26.06.94 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
70,Geoffrey Meleka Mark Chiwondo,M,14.01.70 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
71,George Zulu,M,12.06.69 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
72,George Katunga Million,M,29.09.69 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
73,Gerald Kapiseni Phiri,M,27.03.85 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
74,Getrude Nankhumwa,F,08.07.82 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
75,Gladwell Kachikungu Chimdzeka,M,20.07.77 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
76,Gladys Ganda,F,25.04.72 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
77,Godfrey Kapalamula,M,22.11.74 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
78,Grace Kwelepeta,F,13.01.80 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
79,Grant Hassan Ndecha,M,29.04.80 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,UDF
80,Halima Alima Daudi,F,05.02.61 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
81,Harold Patrick Phillipo Chikhondo,M,27.09.63 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
82,Henry Baidon Shaba,M,01.01.57 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
83,Horace Levas Chipuwa,M,29.10.63 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
84,Idi Kalosi,M,07.06.65 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
85,Ireen Mambala,F,10.02.84 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
86,Ishmael Sainet Rashid Grant,M,16.09.75 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
87,Ishmael Ndaila Onani,M,16.12.89 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
88,Ismail Rizzq Mkumba,M,30.08.82 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,UDF
89,Jacob Hara,M,29.04.76 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
90,Jacquline Chikuta,F,21.07.58 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
91,Jailos kalenje Bonongwe,M,04.04.79 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
92,James Bond Kamwambi,M,10.03.66 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
93,Jappie Mhango,M,21.06.69 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
94,Jason Isaac Kaneka,M,29.06.56 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
95,Jean Muonaowuza Sendeza,M,11.05.64 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
96,Jephter Fackson Mwale,M,20.08.64 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
97,John F Bande,M,10.04.74 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
98,John Alfred John Chikalimba,M,21.08.54 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,PP
99,Joseph Davie NoM,M,30.10.67 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
100,Joseph Mathyola Mwanamvekha,M,12.06.64 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
101,Joyce Chitsulo,F,27.05.78 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
102,Julius Chione Mwase,M,27.08.77 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
103,Kamlepo Kalua,M,13.08.57 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,PP
104,Kennedy Pemba Kachingwe,M,20.05.75 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
105,Kenneth Ndovie,M,25.12.80 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
106,Kenneth Zikhale Reeves Ng�ma,M,16.12.60 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
107,Kenny Edward Kandodo,M,26.04.61 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
108,Kezzie Kasambala Msukwa,M,15.02.66 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
109,Khumbize Kandodo Chiponda,F,10.05.69 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
110,Kondwani Nankhumwa,M,03.07.78 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
111,Liana Kakhobwe Chapota,F,03.07.73 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
112,Lilian Estella Patel,F,22.02.51 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,UDF
113,Lingson Kambewa Waidon Belekanyama,M,16.09.62 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
114,Llyas Abdul-Karim,M,10.02.91 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
115,Lobin Lowe,M,27.10.63 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
116,Lonnie Chijere Phiri,F,30.04.71 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
117,Lyana Lexa Tambala,F,08.10.52 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
118,Lymon Bema Ziphondo,M,25.10.65 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
119,Mabvuto Sandram Scott,M,20.05.73 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
120,Madalitso Wirima Kambauwa,F,28.10.75 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
121,Madalitso Fred Kaderanji Kazombo,M,31.05.79 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
122,Mark Botomani,F,19.02.80 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
123,Mark Katsonga-Phiri,M,29.07.51 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
124,Marko Ezra Ching'onga Banda,M,22.01.64 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
125,Martha Mzomera Chiulutha Ngwira,F,12.10.80 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
126,Martha Chanjo Mhone Lunji,F,24.12.75 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
127,Mary Chisomo Navicha-Thom,F,05.06.76 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
128,Mary Connie Livuza Mpanga,F,25.05.56 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
129,Masauko Poverty White,M,03.09.73 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
130,Matthews Ngwale,M,18.08.58 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
131,McDowel Aaron Chidumba Mkandawire,M,06.02.61 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
132,McNice Abu Naliwa,M,09.08.61 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
133,Mcstein Swithin Mkomba,M,12.04.63 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
134,McTimes Pagonanji Malowa,M,07.03.64 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
135,Mike Bango,M,10.07.85 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
136,Mike Ng�mbe Mwawa,M,01.02.87 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
137,Misolo Mussa Kapichila,M,06.02.80 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,UDF
138,Monica Chang'anamuno,F,29.04.73 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
139,Mungasulwa Mwambande,M,01.03.80 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
140,Mwisho Alexcander Chilikumtima,M,22.02.67 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
141,Nancy Chaola Mdooko,F,21.08.74 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
142,Nancy Tembo,F,11.01.59 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
143,Naomi Kilekwa,F,06.10.84 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
144,Nedson Newman Poya,M,26.07.77 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,UDF
145,Nicholas Harry Dausi,M,21.08.58 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
146,Nickson Celvans Masebo,M,09.09.74 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
147,Noah Freeman Chimpeni,M,02.02.68 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,PP
148,Noel Lipipa,M,25.01.81 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
149,Olipa Chimangeni,F,28.02.79 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
150,Orphan Shaba,M,28.07.83 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
151,Owen Chomanika,M,10.04.81 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
152,Patrick Siyabonga Bandawe,M,21.04.71 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
153,Patrick Mpinganjira Matola,M,25.04.72 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
154,Paul Dumende Nkhoma,M,17.09.65 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
155,Peter Mazizi,M,11.11.68 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
156,Rachel Patience Mazombwe,F,11.06.73 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
157,Ralph Pachalo Jooma,M,25.10.73 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
158,Ramuzani Juma Mahommed,M,08.01.78 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
159,Raymond Chatima Nkhata,M,10.04.75 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
160,Richard Chimwendo Banda,M,04.06.78 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
161,Robert Mwina,M,05.06.83 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
162,Rodrick Samu Khumbanyiwa,M,31.07.51 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,UDF
163,Roseby Gama Gadama,F,01.10.72 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
164,Sadala Yahard Ibrahim,M,30.09.92 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,UDF
165,Salim Ibraham Bagus,M,12.06.65 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
166,Sameer Suleman,F,10.06.77 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
167,Samuel Mayor Chirwa,M,07.07.80 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
168,Samuel Dalitso Kawale,M,07.01.79 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
169,Samuel Malume Bokosi,M,10.10.78 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
170,Santigo Samson Phiri,M,14.03.73 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
171,Savel Kafwafwa,M,20.05.78 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
172,Shadric Namalomba,M,12.10.70 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
173,Simion Simon Salambula,M,31.01.76 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,UTM
174,Simplex Ed Chithyola Banda,M,01.01.74 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
175,Sosten Alfred Gwengwe,M,20.05.77 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
176,Steven Mikaya,M,26.01.69 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,UTM
177,Susan Dossi,F,09.10.80 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
178,Susan Kacholola Ndalama,F,20.02.60 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
179,Symon Vuwa Kaunda,M,19.04.65 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
180,Thoko Matengambiri Tembo,M,08.08.79 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
181,Uchizi Vunda Mkandawire,M,14.12.80 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
182,Ulemu Jermoth Chilapondwa,M,01.10.68 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
183,Ulemu Msungama,M,26.07.82 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
184,Victor Musowa,M,19.09.79 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
185,Victoria Kingstone,F,20.09.72 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
186,Werani Manasseh Chilenga,M,06.07.60 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
187,Wezie Gondwe,F,15.08.83 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
188,William John Susuwele-Banda,M,07.04.61 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
189,Winston Kaimapanjira,M,19.10.83 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
190,Yeremia Mzgezge Wilson Chihana,M,02.03.65 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,AFORD
191,Yona M Adadawizamkandawire,M,03.03.73 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
192,Yusuf Witness Nthenda,M,06.12.70 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
193,Abel Louren�o Chocolate,M,06.01.53 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,MPLA
194,Abel Xavier Nzuzi Lubota,M,10.02.71 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,CASA-CE
195,Adalberto Costa J�nior,M,08.05.62 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,UNITA
196,Adelina Chilica,F,19.02.58 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,MPLA
197,Ad�rito Jaime Fernandes Kandambo,M,30.09.61 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,UNITA
198,Adriano Abel Sapin�la,M,26.09.77 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,UNITA
199,Adriano Meireles Patroc�nio ,M,24.06.65 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,MPLA
200,Albertina Navemba Ngolo Felisberto,F,23.12.77 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,UNITA
201,Alberto Francisco Ngalanela,M,08.11.63 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,UNITA
202,Alberto Paulino,M,10.05.56 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,MPLA
203,Alcides Sakala Sim�es,M,23.12.53 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,UNITA
204,Aldina Matilde Barros da Lomba Catembo,F,15.05.64 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,MPLA
205,Alexandre Sebasti�o Andr�,M,11.10.61 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,CASA-CE
206,Alfredo Junqueira Dala,M,23.07.63 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,MPLA
207,Alicerces Paulo Bartolomeu �Aly Mango�,M,10.02.82 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,UNITA
208,�lvaro Manuel de Boavida Neto,M,18.09.59 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,MPLA
209,Amadeu Tim�teo Malheiros de Amorim,M,03.08.37 00:00,No,,National Assembly of Angola,01.09.17 00:00,31.08.20 00:00,MPLA
